标题,文案,选题,类型,热度指数
Sora之父都创业了！普通人靠AI赚米真不难,Sora之父都离职创业了！你还觉得这波新AI风口跟普通人没关系？是不是天天刷到AI造富神话，自己只能当吃瓜群众，想进场又怕没技术没资金。,Sora之父官宣离职带走核心技术 全球AI赛道格局重新洗牌,经验分享类,95
实测半个月！零门槛AI提效三步法,40岁做内容的老炮直接跟AI厂商掀桌子。AI越更新越难用，界面改动、功能阉割，越更越不贴合普通人使用习惯。,40岁男子抵触AI更新 撕开AI厂商越更越难用的行业套路,经验分享类,88
一天更三条！自媒体人用AI效率翻四倍,AI编程效率格局真的要变天了，ClaudeCode源码泄露，普通人也能低成本玩转代码开发。,ClaudeCode源码泄露 普通用户可直接复用的3个高效玩法,经验分享类,92
ClaudeCode源码泄露！编程效率直接翻十倍,还在天天熬夜加班、薪资微薄？AI大模型催生全新小众高薪职业，提示词优化师，时间自由、门槛低。,月入两万的新职业 不用坐班靠AI赚钱,AI产品推广类,90
顶级AI源码泄露✨普通人0成本白嫖神技,16岁学生用AI两小时制作小程序，揭秘普通人能复制的AI玩法,0基础也能玩AI？16岁学生2小时做小程序 揭秘普通人能复制的AI玩法,AI产品推广类,85
月入两万的新职业，不用坐班靠AI赚钱,AI生成"暗黑动漫"有多野？央视调查背后，精神隐患不容忽视,AI生成"暗黑动漫"有多野？央视调查背后 精神隐患不容忽视,AI产品推广类,82
拒绝死工资，AI提示词工程师成风口副业,AI10秒画100张画，老艺术家手绘数月，手工温度AI无法复刻,AI批量生产艺术 手工坚守是固执 更是行业清醒,经验分享类,80
熬夜想选题到头秃？AI3秒生成爆款灵感,整层仅一户被贴满小广告，AI精准拓客的另类乱象,整层仅一户被贴满小广告 AI精准拓客的另类乱象,经验分享类,78
怕没技术资金？AI工具包一键配齐,未来产业会解锁哪些新职业,未来产业会解锁哪些新职业,经验分享类,75
做方案从三天缩到半天！营销人AI实战,中国AI大模型调用量连续五周超美国,中国AI大模型调用量连续五周超美国,经验分享类,82
40岁内容老炮掀桌AI厂商！工具避坑清单,字节发布全双工语音大模型Seeduplex,字节发布全双工语音大模型Seeduplex,经验分享类,80
0基础也能玩AI？16岁学生2小时做小程序,Gemma4 真实上手体验,Gemma4 真实上手体验,经验分享类,78
从"代码小白"到"小程序创作者"：AI如何重构青少年的科技学习路径,男子用AI写歌仅版权赚了5位数,男子用AI写歌仅版权赚了5位数,经验分享类,76
警惕AI"速成陷阱"！16岁学生做小程序火了，背后隐藏问题,离职员工被做成数字分身继续工作,离职员工被做成数字分身继续工作,经验分享类,74
AI生成"暗黑动漫"有多野？央视调查背后，精神隐患不容忽视,机器人保姆"上岗"了,机器人保姆"上岗"了,AI产品推广类,72
一键生成恐怖画面！AI暗黑产业链，收割未成年人,妈妈不知儿子去世 跟AI儿子聊了1年,妈妈不知儿子去世 跟AI儿子聊了1年,AI产品推广类,70
别让AI成恶趣帮凶，为AI内容建立安全防火墙,广东鸡煲店老板累瘫照系AI生成,广东鸡煲店老板累瘫照系AI生成,经验分享类,68
AI10秒画100张画，老艺术家手绘数月，手工温度AI无法复刻,40岁男子AI成瘾无法接受版本更新,40岁男子AI成瘾无法接受版本更新,经验分享类,75
AI批量生产艺术，手工坚守是固执，更是行业清醒,AI奇谈｜流金谷恩仇录：谁先眨眼？,AI奇谈｜流金谷恩仇录：谁先眨眼？,经验分享类,72
流量快节奏时代，手作慢创作成为稀缺价值,"天算"如何帮"人算","天算"如何帮"人算",经验分享类,70